Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,2,Fri,2018-06-22,18:00 (12:00),Nigeria ng,0.9,2–0,1.3,is Iceland,40904,Volgograd Arena (Neutral Site),Matt Conger,Match Report,
Group stage,2,Fri,2018-06-22,20:00 (15:00),Serbia rs,1.5,1–2,2.1,ch Switzerland,33167,Kaliningrad Stadium (Neutral Site),Felix Brych,Match Report,
Group stage,2,Sat,2018-06-23,15:00 (09:00),Belgium be,5.2,5–2,1.1,tn Tunisia,44190,Otkrytie Arena (Neutral Site),Jair Marrufo,Match Report,
Group stage,2,Sat,2018-06-23,18:00 (12:00),Korea Republic kr,0.9,1–2,1.9,mx Mexico,43472,Rostov Arena (Neutral Site),Milorad Mažić,Match Report,
Group stage,2,Sat,2018-06-23,21:00 (15:00),Germany de,1.4,2–1,0.9,se Sweden,44287,Olimpiyskiy Stadion Fisht (Neutral Site),Szymon Marciniak,Match Report,
Group stage,2,Sun,2018-06-24,15:00 (09:00),England eng,2.8,6–1,1.1,pa Panama,43319,Stadion Nizhny Novgorod (Neutral Site),Gehad Grisha,Match Report,
Group stage,2,Sun,2018-06-24,20:00 (12:00),Japan jp,0.9,2–2,1.4,sn Senegal,32572,Stadion Central'nyj (Neutral Site),Gianluca Rocchi,Match Report,
Group stage,2,Sun,2018-06-24,21:00 (15:00),Poland pl,1.1,0–3,2.1,co Colombia,42873,Kazan Arena (Neutral Site),César Arturo Ramos,Match Report,
Group stage,3,Mon,2018-06-25,17:00 (11:00),Saudi Arabia sa,2.6,2–1,0.8,eg Egypt,36823,Volgograd Arena (Neutral Site),Wilmar Roldán,Match Report,
Group stage,3,Mon,2018-06-25,18:00 (11:00),Uruguay uy,2.4,3–0,0.1,ru Russia,41970,Cosmos Arena (Neutral Site),Malang Diédhiou,Match Report,
Group stage,3,Mon,2018-06-25,20:00 (15:00),Spain es,2.9,2–2,1.2,ma Morocco,33973,Kaliningrad Stadium (Neutral Site),Ravshan Irmatov,Match Report,
Group stage,3,Mon,2018-06-25,21:00 (15:00),IR Iran ir,1.4,1–1,1.3,pt Portugal,41685,Mordovia Arena (Neutral Site),Enrique Cáceres,Match Report,
Group stage,3,Tue,2018-06-26,17:00 (11:00),Australia au,0.9,0–2,0.2,pe Peru,44073,Olimpiyskiy Stadion Fisht (Neutral Site),Sergey Karasev,Match Report,
Group stage,3,Tue,2018-06-26,17:00 (11:00),Denmark dk,0.2,0–0,0.4,fr France,78011,Olimpiyskiy stadion Luzhniki (Neutral Site),Sandro Ricci,Match Report,
Group stage,3,Tue,2018-06-26,21:00 (15:00),Iceland is,2.1,1–2,0.7,hr Croatia,43472,Rostov Arena (Neutral Site),Antonio Matéu Lahoz,Match Report,
Group stage,3,Tue,2018-06-26,21:00 (15:00),Nigeria ng,1.4,1–2,0.9,ar Argentina,64468,Gazprom Arena (Neutral Site),Cüneyt Çakιr,Match Report,
Group stage,3,Wed,2018-06-27,17:00 (11:00),Korea Republic kr,1.7,2–0,2.7,de Germany,41835,Kazan Arena (Neutral Site),Mark Geiger,Match Report,
Group stage,3,Wed,2018-06-27,19:00 (11:00),Mexico mx,1.4,0–3,2.4,se Sweden,33061,Stadion Central'nyj (Neutral Site),Néstor Pitana,Match Report,
Group stage,3,Wed,2018-06-27,21:00 (15:00),Switzerland ch,1.4,2–2,1.5,cr Costa Rica,43319,Stadion Nizhny Novgorod (Neutral Site),Clément Turpin,Match Report,
Group stage,3,Wed,2018-06-27,21:00 (15:00),Serbia rs,0.8,0–2,1.4,br Brazil,44190,Otkrytie Arena (Neutral Site),Alireza Faghani,Match Report,
Group stage,3,Thu,2018-06-28,17:00 (11:00),Japan jp,0.7,0–1,1.4,pl Poland,42189,Volgograd Arena (Neutral Site),Janny Sikazwe,Match Report,
Group stage,3,Thu,2018-06-28,18:00 (11:00),Senegal sn,0.5,0–1,0.3,co Colombia,41970,Cosmos Arena (Neutral Site),Milorad Mažić,Match Report,
Group stage,3,Thu,2018-06-28,20:00 (15:00),England eng,0.9,0–1,1.3,be Belgium,33973,Kaliningrad Stadium (Neutral Site),Damir Skomina,Match Report,
Group stage,3,Thu,2018-06-28,21:00 (15:00),Panama pa,0.6,1–2,2.1,tn Tunisia,37168,Mordovia Arena (Neutral Site),Nawaf Shukralla,Match Report,
Round of 16,,Sat,2018-06-30,17:00 (11:00),France fr,2.2,4–3,0.8,ar Argentina,42873,Kazan Arena (Neutral Site),Alireza Faghani,Match Report,
Round of 16,,Sat,2018-06-30,21:00 (15:00),Uruguay uy,0.6,2–1,1.0,pt Portugal,44287,Olimpiyskiy Stadion Fisht (Neutral Site),César Arturo Ramos,Match Report,
Round of 16,,Sun,2018-07-01,17:00 (11:00),Spain es,1.8,(3) 1–1 (4),1.0,ru Russia,78011,Olimpiyskiy stadion Luzhniki (Neutral Site),Björn Kuipers,Match Report,Russia won on penalty kicks following extra time
Round of 16,,Sun,2018-07-01,21:00 (15:00),Croatia hr,2.5,(3) 1–1 (2),0.9,dk Denmark,40851,Stadion Nizhny Novgorod (Neutral Site),Néstor Pitana,Match Report,Croatia won on penalty kicks following extra time
Round of 16,,Mon,2018-07-02,18:00 (11:00),Brazil br,2.7,2–0,0.7,mx Mexico,41970,Cosmos Arena (Neutral Site),Gianluca Rocchi,Match Report,
Round of 16,,Mon,2018-07-02,21:00 (15:00),Belgium be,2.5,3–2,0.7,jp Japan,41466,Rostov Arena (Neutral Site),Malang Diédhiou,Match Report,
Round of 16,,Tue,2018-07-03,17:00 (11:00),Sweden se,1.3,1–0,0.7,ch Switzerland,64042,Gazprom Arena (Neutral Site),Damir Skomina,Match Report,
Round of 16,,Tue,2018-07-03,21:00 (15:00),Colombia co,0.6,(3) 1–1 (4),2.1,eng England,44190,Otkrytie Arena (Neutral Site),Mark Geiger,Match Report,England won on penalty kicks following extra time
Quarter-finals,,Fri,2018-07-06,17:00 (11:00),Uruguay uy,0.9,0–2,0.5,fr France,43319,Stadion Nizhny Novgorod (Neutral Site),Néstor Pitana,Match Report,
Quarter-finals,,Fri,2018-07-06,21:00 (15:00),Brazil br,2.8,1–2,0.5,be Belgium,42873,Kazan Arena (Neutral Site),Milorad Mažić,Match Report,
Quarter-finals,,Sat,2018-07-07,18:00 (11:00),Sweden se,0.5,0–2,1.0,eng England,39991,Cosmos Arena (Neutral Site),Björn Kuipers,Match Report,
Quarter-finals,,Sat,2018-07-07,21:00 (15:00),Russia ru,1.0,(3) 2–2 (4),1.7,hr Croatia,44287,Olimpiyskiy Stadion Fisht (Neutral Site),Sandro Ricci,Match Report,Croatia won on penalty kicks following extra time
Semi-finals,,Tue,2018-07-10,21:00 (15:00),France fr,1.7,1–0,0.4,be Belgium,64286,Gazprom Arena (Neutral Site),Andrés Cunha,Match Report,
Semi-finals,,Wed,2018-07-11,21:00 (15:00),Croatia hr,1.7,2–1,0.6,eng England,78011,Olimpiyskiy stadion Luzhniki (Neutral Site),Cüneyt Çakιr,Match Report,Required Extra Time
Third-place match,,Sat,2018-07-14,17:00 (11:00),Belgium be,1.5,2–0,1.0,eng England,64406,Gazprom Arena (Neutral Site),Alireza Faghani,Match Report,
Final,,Sun,2018-07-15,18:00 (12:00),France fr,1.1,4–2,1.1,hr Croatia,78011,Olimpiyskiy stadion Luzhniki (Neutral Site),Néstor Pitana,Match Report,
