Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Wed,2022-11-30,18:00 (12:00),Australia,0.6,1–0,0.6,Denmark,41232,Al Janoub Stadium (Neutral Site),Mustapha Ghorbal,Match Report,
Group stage,3,Wed,2022-11-30,18:00 (12:00),Tunisia,0.5,1–0,0.8,France,43627,Education City Stadium (Neutral Site),Matt Conger,Match Report,
Group stage,3,Wed,2022-11-30,22:00 (16:00),Saudi Arabia,1.1,1–2,2.3,Mexico,84985,Lusail Iconic Stadium (Neutral Site),Michael Oliver,Match Report,
Group stage,3,Wed,2022-11-30,22:00 (16:00),Poland,0.3,0–2,3.5,Argentina,44089,Stadium 974 (Neutral Site),Danny Makkelie,Match Report,
Group stage,3,Thu,2022-12-01,18:00 (12:00),Canada,1.4,1–2,0.5,Morocco,43102,Al Thumama Stadium (Neutral Site),Raphael Claus,Match Report,
Group stage,3,Thu,2022-12-01,18:00 (12:00),Croatia,0.7,0–0,3.0,Belgium,43984,Ahmed bin Ali Stadium (Neutral Site),Anthony Taylor,Match Report,
Group stage,3,Thu,2022-12-01,22:00 (16:00),Costa Rica,1.3,2–4,5.7,Germany,67054,Al Bayt Stadium (Neutral Site),Stéphanie Frappart,Match Report,
Group stage,3,Thu,2022-12-01,22:00 (16:00),Japan,1.4,2–1,1.0,Spain,44851,Khalifa International Stadium (Neutral Site),Victor Gomes,Match Report,
Group stage,3,Fri,2022-12-02,18:00 (12:00),Korea Republic,1.7,2–1,1.3,Portugal,44097,Education City Stadium (Neutral Site),Facundo Tello,Match Report,
Group stage,3,Fri,2022-12-02,18:00 (12:00),Ghana,1.6,0–2,1.8,Uruguay,43443,Al Janoub Stadium (Neutral Site),Daniel Siebert,Match Report,
Group stage,3,Fri,2022-12-02,22:00 (16:00),Cameroon,0.5,1–0,2.5,Brazil,85986,Lusail Iconic Stadium (Neutral Site),Ismail Elfath,Match Report,
Group stage,3,Fri,2022-12-02,22:00 (16:00),Serbia,1.3,2–3,2.7,Switzerland,41378,Stadium 974 (Neutral Site),Fernando Rapallini,Match Report,
Round of 16,,Sat,2022-12-03,18:00 (12:00),Netherlands,1.7,3–1,1.5,United States,44846,Khalifa International Stadium (Neutral Site),Wilton Sampaio,Match Report,
Round of 16,,Sat,2022-12-03,22:00 (16:00),Argentina,1.6,2–1,0.6,Australia,45032,Ahmed bin Ali Stadium (Neutral Site),Szymon Marciniak,Match Report,
Round of 16,,Sun,2022-12-04,18:00 (12:00),France,1.4,3–1,1.7,Poland,40989,Al Thumama Stadium (Neutral Site),Jesús Valenzuela,Match Report,
Round of 16,,Sun,2022-12-04,22:00 (16:00),England,1.0,3–0,0.8,Senegal,65985,Al Bayt Stadium (Neutral Site),Iván Barton,Match Report,
Round of 16,,Mon,2022-12-05,18:00 (12:00),Japan,1.2,(1) 1–1 (3),1.4,Croatia,42523,Al Janoub Stadium (Neutral Site),Ismail Elfath,Match Report,Croatia won on penalty kicks following extra time
Round of 16,,Mon,2022-12-05,22:00 (16:00),Brazil,3.6,4–1,0.5,Korea Republic,43847,Stadium 974 (Neutral Site),Clément Turpin,Match Report,
Round of 16,,Tue,2022-12-06,18:00 (12:00),Morocco,0.7,(3) 0–0 (0),1.0,Spain,44667,Education City Stadium (Neutral Site),Fernando Rapallini,Match Report,Morocco won on penalty kicks following extra time
Round of 16,,Tue,2022-12-06,22:00 (16:00),Portugal,2.3,6–1,1.2,Switzerland,83720,Lusail Iconic Stadium (Neutral Site),César Arturo Ramos,Match Report,
Quarter-finals,,Fri,2022-12-09,18:00 (12:00),Croatia,0.6,(4) 1–1 (2),2.5,Brazil,43893,Education City Stadium (Neutral Site),Michael Oliver,Match Report,Croatia won on penalty kicks following extra time
Quarter-finals,,Fri,2022-12-09,22:00 (16:00),Netherlands,0.6,(3) 2–2 (4),1.9,Argentina,88235,Lusail Iconic Stadium (Neutral Site),Antonio Matéu,Match Report,Argentina won on penalty kicks following extra time
Quarter-finals,,Sat,2022-12-10,18:00 (12:00),Morocco,1.4,1–0,0.9,Portugal,44198,Al Thumama Stadium (Neutral Site),Facundo Tello,Match Report,
Quarter-finals,,Sat,2022-12-10,22:00 (16:00),England,2.4,1–2,0.9,France,68895,Al Bayt Stadium (Neutral Site),Wilton Sampaio,Match Report,
Semi-finals,,Tue,2022-12-13,22:00 (16:00),Argentina,2.3,3–0,0.5,Croatia,88966,Lusail Iconic Stadium (Neutral Site),Daniele Orsato,Match Report,
Semi-finals,,Wed,2022-12-14,22:00 (16:00),France,2.0,2–0,0.9,Morocco,68294,Al Bayt Stadium (Neutral Site),César Arturo Ramos,Match Report,
Third-place match,,Sat,2022-12-17,18:00 (12:00),Croatia,,,,Morocco,,Khalifa International Stadium (Neutral Site),,Head-to-Head,
Final,,Sun,2022-12-18,18:00 (12:00),Argentina,,,,France,,Lusail Iconic Stadium (Neutral Site),,Head-to-Head,
