Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Mehdi Taremi,9,FW,30-126,1.pt Porto,90,2,0,1,1,2,1,0,0,34,0,2,1,1.0,0.2,0.0,3,1,17,20,85.0,1,0,2,4c2a5d34
Ehsan Hajsafi,3,LMLB,32-269,1.gr AEK Athens,90,0,0,0,0,0,0,0,0,34,1,1,1,0.0,0.0,0.1,1,0,16,28,57.1,2,0,1,b060e3b8
Ali Karimi,18,CM,28-283,1.tr Kayserispor,45,0,0,0,0,0,0,0,0,8,2,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,0,0,3840bfb9
Saeid Ezatolahi,6,CM,26-051,2.dk Vejle BK,45,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,9,9,100.0,1,0,1,314d95ac
Ahmad Nourollahi,21,CM,29-292,1.ae Al-Ahli Dubai FC,76,0,0,0,0,1,0,0,0,27,1,2,0,0.0,0.0,0.0,0,0,10,17,58.8,1,0,0,2c5273b8
Sardar Azmoun,20,FW,27-324,1.de Leverkusen,14,0,0,0,0,1,1,0,0,6,0,0,0,0.5,0.5,0.0,0,0,4,5,80.0,0,0,0,10549b49
Alireza Jahanbakhsh,7,RM,29-102,1.nl Feyenoord,45,0,0,0,0,1,0,1,0,16,1,1,2,0.1,0.1,0.0,0,0,5,9,55.6,1,0,0,08452314
Ali Gholizadeh,17,RMCM,26-256,1.be Charleroi,45,0,1,0,0,0,0,0,0,20,0,2,0,0.0,0.0,0.2,3,1,11,17,64.7,1,0,2,9fc0ac41
Milad Mohammadi,5,LB,29-053,1.gr AEK Athens,62,0,0,0,0,0,0,0,0,20,1,1,0,0.0,0.0,0.0,0,0,9,12,75.0,0,0,1,740a0e28
Mehdi Torabi,16,CMLM,28-072,1.ir Persepolis,28,0,0,0,0,1,0,0,0,15,1,2,0,0.0,0.0,0.5,4,0,9,10,90.0,2,0,1,74567feb
Majid Hosseini,19,CB,26-154,1.tr Kayserispor,90,0,0,0,0,0,0,0,0,26,3,1,2,0.0,0.0,0.0,0,0,10,16,62.5,0,0,0,d2161bae
Roozbeh Cheshmi,15,CB,29-120,1.ir Esteghlal,45,0,0,0,0,0,0,0,0,13,0,1,1,0.0,0.0,0.0,0,0,5,9,55.6,0,0,0,87c75fb3
Hossein Kanaanizadegan,13,CB,28-243,1.qa Al Ahli SC,45,0,0,0,0,0,0,0,0,15,0,1,1,0.0,0.0,0.0,0,0,8,11,72.7,0,0,0,24353c25
Morteza Pouraliganji,8,CB,30-216,1.ir Persepolis,90,0,0,0,0,0,0,1,0,39,1,1,1,0.0,0.0,0.0,2,1,19,30,63.3,2,0,0,2c2066f4
Sadegh Moharrami,2,RB,26-265,1.hr Dinamo Zagreb,90,0,0,0,0,0,0,0,0,32,1,1,1,0.0,0.0,0.0,1,1,18,26,69.2,0,1,1,25b74470
Alireza Beiranvand,1,GK,30-061,1.ir Persepolis,19,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,0,0,6ca0b04a
Hossein Hosseini,24,GK,30-144,1.ir Esteghlal,71,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,8,20,40.0,0,0,0,fb24817c
