Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Kudus Mohammed,20,FW,22-122,1.nl Ajax,89,0,0,0,0,4,1,0,0,52,2,0,0,0.4,0.4,0.0,4,0,29,38,76.3,3,5,7,b62878a5
Abdul Fatawu Issahaku,7,FW,18-269,1.pt Sporting CP,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,1,bceda5ff
Jordan Ayew,9,LW,31-082,1.eng Crystal Palace,45,0,0,0,0,1,1,0,0,15,0,0,0,0.1,0.1,0.0,1,0,6,10,60.0,1,0,1,da052c14
Kamaldeen Sulemana,22,LW,20-290,1.fr Rennes,45,0,0,0,0,1,1,1,0,22,0,0,0,0.1,0.1,0.0,0,0,8,15,53.3,1,1,5,a62f8bf1
Iñaki Williams,19,RW,28-170,1.es Athletic Club,90,0,0,0,0,0,0,0,0,18,2,0,0,0.0,0.0,0.1,1,0,9,13,69.2,1,1,1,6a99e0b1
André Ayew,10,AM,32-350,1.qa Al Sadd SC,45,0,0,0,1,0,0,0,0,14,3,0,0,0.8,0.0,0.0,0,0,4,6,66.7,0,0,1,5dbefa9d
Osman Bukari,11,AM,23-354,1.rs Red Star,45,0,0,0,0,1,0,0,0,19,0,1,0,0.1,0.1,0.1,1,0,10,15,66.7,0,0,1,eab85789
Salis Abdul Samed,21,DM,22-251,1.fr Lens,71,0,0,0,0,0,0,0,0,60,1,3,1,0.0,0.0,0.0,2,0,45,50,90.0,1,2,3,82464ce3
Daniel Kyereh,8,DM,26-269,1.de Freiburg,19,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,14,18,77.8,0,1,1,2770726a
Thomas Partey,5,DM,29-172,1.eng Arsenal,90,0,0,0,0,0,0,0,0,90,2,0,5,0.0,0.0,0.0,1,0,58,74,78.4,6,2,2,529f49ab
Baba Rahman,17,LB,28-153,2.eng Reading,90,0,0,0,0,0,0,0,0,69,3,0,1,0.0,0.0,0.3,2,0,39,58,67.2,5,1,3,e4086af3
Mohammed Salisu,4,CB,23-229,1.eng Southampton,90,0,0,0,0,0,0,0,0,70,1,1,1,0.0,0.0,0.2,2,0,43,59,72.9,5,0,0,0b33f6ad
Daniel Amartey,18,CB,27-346,1.eng Leicester City,71,0,0,0,0,1,0,0,0,65,2,2,0,0.2,0.2,0.1,1,0,47,52,90.4,4,0,0,1a4ef233
Antoine Semenyo,25,RW,22-329,2.eng Bristol City,19,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,efd2ec23
Alidu Seidu,26,RB,22-181,1.fr Clermont Foot,90,0,0,0,0,0,0,1,0,69,6,0,4,0.0,0.0,0.0,1,0,40,55,72.7,1,2,2,cea59f02
Lawrence Ati-Zigi,1,GK,26-003,1.ch St. Gallen,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,20,26,76.9,0,0,0,a12402c3
