Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Steven Bergwijn,7,FW,25-044,1.nl Ajax,78,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,0,0,15,20,75.0,1,0,0,a29b1131
Davy Klaassen,14,FW,29-273,1.nl Ajax,12,1,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,0,0,3,4,75.0,0,0,0,15fd5593
Vincent Janssen,18,FW,28-159,1.be Antwerp,61,0,0,0,0,2,0,0,0,21,2,0,1,0.1,0.1,0.0,3,0,9,12,75.0,1,1,1,31dce0c8
Memphis,10,FW,28-281,1.es Barcelona,29,0,0,0,0,1,1,0,0,17,0,0,1,0.0,0.0,0.0,2,2,10,12,83.3,0,1,2,8f696594
Cody Gakpo,8,AM,23-198,1.nl PSV Eindhoven,89,1,0,0,0,1,1,0,0,33,0,1,0,0.1,0.1,0.2,3,0,13,26,50.0,1,1,2,1971591f
Marten de Roon,15,AM,31-237,1.it Atalanta,1,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,2a1beb34
Frenkie de Jong,21,CM,25-193,1.es Barcelona,90,0,1,0,0,0,0,0,0,77,2,0,2,0.0,0.0,0.2,4,1,57,67,85.1,3,1,2,1bacc518
Steven Berghuis,11,CM,30-337,1.nl Ajax,78,0,0,0,0,2,0,0,0,48,0,0,0,0.1,0.1,0.0,2,0,38,45,84.4,4,0,2,713c144a
Teun Koopmeiners,20,CM,24-266,1.it Atalanta,12,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.0,1,0,3,7,42.9,2,0,0,a26fb8aa
Daley Blind,17,WB,32-257,1.nl Ajax,90,0,0,0,0,1,0,0,0,62,1,1,1,0.1,0.1,0.0,1,0,46,58,79.3,4,0,0,691bef82
Denzel Dumfries,22,WB,26-217,1.it Inter,90,0,0,0,0,0,0,0,0,54,2,1,0,0.0,0.0,0.0,1,0,25,43,58.1,5,0,2,481c9ece
Nathan Aké,5,CB,27-276,1.eng Manchester City,90,0,0,0,0,0,0,0,0,73,1,0,2,0.0,0.0,0.0,0,0,56,65,86.2,5,0,0,eaeca114
Virgil van Dijk,4,CB,31-136,1.eng Liverpool,90,0,0,0,0,2,0,0,0,71,0,2,1,0.1,0.1,0.0,0,0,49,62,79.0,2,0,0,e06683ca
Matthijs de Ligt,3,CB,23-101,1.de Bayern Munich,90,0,0,0,0,0,0,1,0,48,0,0,0,0.0,0.0,0.0,1,0,41,45,91.1,2,0,0,d6e53a3a
Andries Noppert,23,GK,28-228,1.nl Heerenveen,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,22,27,81.5,0,0,0,2dc9d6fb
