Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att,-9999
Marko Livaja,14,FW,29-113,1.hr Hajduk Split,65,0,1,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,1,1,9,13,69.2,1,0,1,6e5497ca
Bruno Petković,16,FW,28-092,1.hr Dinamo Zagreb,25,0,0,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.0,0,0,4,12,33.3,1,0,1,24228180
Mislav Oršić,18,LW,29-353,1.hr Dinamo Zagreb,89,1,0,0,0,5,1,0,0,43,3,0,2,0.2,0.2,0.2,1,0,20,28,71.4,4,0,1,ee950928
Kristijan Jakić,26,LW,25-217,1.de Eint Frankfurt,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,a8ee54ad
Lovro Majer,7,RWAM,24-334,1.fr Rennes,65,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.1,4,1,23,32,71.9,3,0,1,fc46aab1
Mario Pašalić,15,AM,27-311,1.it Atalanta,25,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,7,10,70.0,0,0,1,e599253a
Andrej Kramarić,9,AM,31-181,1.de Hoffenheim,60,0,0,0,0,1,1,0,0,20,1,0,1,0.1,0.1,0.1,2,0,13,17,76.5,2,0,0,603cb947
Nikola Vlašić,13,RW,25-074,1.it Torino,30,0,0,0,0,1,0,0,0,12,0,1,1,0.0,0.0,0.0,0,0,4,7,57.1,1,1,1,aa8e289e
Mateo Kovačić,8,DM,28-225,1.eng Chelsea,90,0,0,0,0,1,0,0,0,79,6,0,0,0.2,0.2,0.0,4,1,62,69,89.9,6,3,3,79c0821a
Luka Modrić,10,DM,37-099,1.es Real Madrid,90,0,0,0,0,1,1,0,0,80,2,2,0,0.0,0.0,0.0,3,0,62,70,88.6,9,1,3,6025fab1
Ivan Perišić,4,LB,33-318,1.eng Tottenham,90,0,1,0,0,0,0,0,0,59,2,1,0,0.0,0.0,0.2,3,1,39,49,79.6,2,1,1,6fe90922
Joško Gvardiol,20,CB,20-328,1.de RB Leipzig,90,1,0,0,0,1,1,0,0,78,0,3,1,0.0,0.0,0.0,0,0,60,66,90.9,3,0,0,5ad50391
Josip Šutalo,24,CB,22-292,1.hr Dinamo Zagreb,90,0,0,0,0,0,0,0,0,73,0,0,1,0.0,0.0,0.0,0,0,62,66,93.9,2,0,0,33a6a650
Josip Stanišić,2,RB,22-259,1.de Bayern Munich,90,0,0,0,0,1,0,0,0,56,3,1,0,0.0,0.0,0.0,0,0,36,49,73.5,1,0,0,7ed08d5c
Dominik Livaković,1,GK,27-342,1.hr Dinamo Zagreb,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,30,33,90.9,0,0,0,58f077c0
